1000,1000,0,-118.19895698377914,-23.527077540132765,440238,-94.69156261509436,435195
1000,1000,0.001,-118.19895698377914,-30.322736613041346,292805,-79.50748542110776,291004
1000,1000,0.01,-118.19895698377914,1.9201217831703712,4123,-27.223634260722463,11600
2000,1000,0,-117.87811964592007,21.833578650647368,445532,-139.71991829901208,428890
2000,1000,0.001,-117.87811964592007,8.36908999039291,334953,-127.59059563232134,326786
2000,1000,0.01,-117.87811964592007,1.3185803492057602,10314,-25.247480572569415,21382
2000,2000,0,-238.9366830162503,-71.57729875405553,444616,-167.38885957869368,428806
2000,2000,0.001,-238.9366830162503,-79.50384119130642,334103,-143.3571508292432,326786
2000,2000,0.01,-238.9366830162503,2.049705546523402,10314,-24.95987508439138,21382
3000,1000,0,-119.60211046463948,-21.902089562616993,449300,-97.70125705691345,424144
3000,1000,0.001,-119.60211046463948,-22.931334188652635,357791,-84.31962081364836,341246
3000,1000,0.01,-119.60211046463948,-6.393430707184313,17986,-22.733158293396542,32931
3000,2000,0,-241.65011642654866,-103.04430290029644,448300,-138.59956794275266,424144
3000,2000,0.001,-241.65011642654866,-114.39400950153507,356846,-122.6008855136819,341246
3000,2000,0.01,-241.65011642654866,-13.296541462114863,17986,-50.4203766224456,32931
3000,3000,0,-363.0236991429246,-211.11411422160236,447300,-151.8805914580546,424144
3000,3000,0.001,-363.0236991429246,-246.6437689283509,355846,-134.42417942320833,341246
3000,3000,0.01,-363.0236991429246,-22.11476888002066,17984,-76.00512834733591,32931
4000,1000,0,-120.5877952152187,-31.715952482503194,449769,-88.92160486146157,422663
4000,1000,0.001,-120.5877952152187,-37.08435997217549,362981,-87.48725185025154,348327
4000,1000,0.01,-120.5877952152187,-14.795133584215362,26720,-43.34438167053121,45675
4000,2000,0,-242.32323038192325,-128.96404477482642,448769,-113.42174794048013,422663
4000,2000,0.001,-242.32323038192325,-111.68734795989717,361981,-101.46709391497865,348327
4000,2000,0.01,-242.32323038192325,-25.529382653074048,26720,-74.81826239083111,45675
4000,3000,0,-364.1804468387652,-226.10757413257463,447797,-138.1459865173441,422635
4000,3000,0.001,-364.1804468387652,-210.25225861973303,361210,-136.11715417575482,348327
4000,3000,0.01,-364.1804468387652,-26.1953940610909,26720,-97.94061733446513,45675
4000,4000,0,-489.7693670031184,-266.2581470894077,447624,-223.54578617746486,421808
4000,4000,0.001,-489.7693670031184,-231.5948142138688,361117,-216.40173089252588,347566
4000,4000,0.01,-489.7693670031184,-27.12357618739871,26720,-154.0934180984365,45675
5000,1000,0,-120.27656466601421,-41.68031006368594,448242,-78.59259134485337,423196
5000,1000,0.001,-120.27656466601421,-28.672568897657886,372008,-75.50768224888661,354085
5000,1000,0.01,-120.27656466601421,-21.385320640149185,34745,-31.64068817734526,55699
5000,2000,0,-242.4956335731848,-128.24051819574822,447403,-114.26514107668541,423035
5000,2000,0.001,-242.4956335731848,-115.22578449990962,371341,-115.78438638158134,354067
5000,2000,0.01,-242.4956335731848,-24.56701522038434,34745,-54.7072790410072,55699
5000,3000,0,-365.27500730828234,-191.85634596137578,446858,-173.43434408796927,422580
5000,3000,0.001,-365.27500730828234,-190.63145514266074,371101,-174.53228224300517,353844
5000,3000,0.01,-365.27500730828234,-28.25423700993959,34745,-104.94722692408679,55699
5000,4000,0,-492.00754830285734,-250.79642971189605,446858,-241.22983017736735,421580
5000,4000,0.001,-492.00754830285734,-234.48089526406878,371101,-235.70355005915374,352844
5000,4000,0.01,-492.00754830285734,-22.88312332353554,34745,-168.392150564964,55699
5000,5000,0,-621.3617952978628,-315.9584805083554,446624,-305.4071956336666,420814
5000,5000,0.001,-621.3617952978628,-276.85945668024476,371036,-283.55121414119014,352240
5000,5000,0.01,-621.3617952978628,-35.439264265247154,34745,-211.5559928429774,55699
6000,1000,0,-120.75820636871936,-25.565394619670094,439825,-95.19157424254794,430620
6000,1000,0.001,-120.75820636871936,-10.364468426924905,372235,-78.70017970407072,363662
6000,1000,0.01,-120.75820636871936,-22.399678789215827,42900,-24.707959351593047,65291
6000,2000,0,-243.89943255414576,-96.15871477752624,439353,-147.73611072098174,430092
6000,2000,0.001,-243.89943255414576,-72.87320443891225,372050,-133.16314484333856,363489
6000,2000,0.01,-243.89943255414576,-27.336806012620823,42900,-65.65890089273543,65291
6000,3000,0,-367.822427119465,-191.3908129615825,439032,-176.42089144389453,429413
6000,3000,0.001,-367.822427119465,-160.15890627739026,372004,-158.90683972439908,363074
6000,3000,0.01,-367.822427119465,-31.650868420031536,42900,-121.01734108113799,65291
6000,4000,0,-496.76844641106453,-254.20477719299535,438955,-242.53687911941032,428490
6000,4000,0.001,-496.76844641106453,-201.6863237924412,372003,-206.77334300461436,362477
6000,4000,0.01,-496.76844641106453,-37.9892553117921,42900,-169.66628352648632,65291
6000,5000,0,-627.9513109479475,-289.067183050864,438955,-338.84439952248187,427490
6000,5000,0.001,-627.9513109479475,-206.29823618954103,372003,-283.58385920724044,361477
6000,5000,0.01,-627.9513109479475,-44.854888964639535,42900,-206.5802766062656,65291
6000,6000,0,-761.9666708679972,-330.44918810790733,438955,-431.45999065622493,426490
6000,6000,0.001,-761.9666708679972,-205.22019633725847,372003,-357.0710209913891,360477
6000,6000,0.01,-761.9666708679972,-40.44741105209502,42900,-220.74568227362408,65179
7000,1000,0,-121.6830432519619,-34.46128724125659,434728,-87.22647558692542,434719
7000,1000,0.001,-121.6830432519619,-13.716715655879005,372794,-74.7856396829328,379940
1000,1000,0,-118.19895698377914,-23.527077540132765,440238,-94.69156261509436,435195
